Date,Product,Region,Units_Sold,Unit Price,Revenue
2024-01-28,Printer,South,N/A,604.32,
2024-01-28,Smartphone,South,,,
2024-01-28,Tablet,Unknown,,free,
2024-01-28,,Unknown,,,
2024-01-29,Tablet,East,,,
2024-01-29,,South,,,
2024-01-30,Laptop,East,,free,
2024-01-30,Monitor,Unknown,,free,
2024-01-31,Tablet,East,7,free,
2024-01-31,Monitor,Unknown,16,470.98,7535.68
2024-01-31,Laptop,East,,,
2024-01-31,,South,3,free,
2024-01-31,Monitor,West,N/A,free,
2024-02-01,Smartphone,Unknown,14,,
2024-02-01,,North,,304.75,
2024-02-02,,West,13,,
2024-02-02,,East,N/A,,
2024-02-02,Smartphone,East,,,
2024-02-02,,South,,,
2024-02-03,Printer,East,,874.23,
2024-02-03,Smartphone,Unknown,2,,
2024-02-03,Monitor,Unknown,,free,
2024-02-03,Tablet,Unknown,,,
2024-02-03,Smartphone,South,N/A,,
2024-02-04,,Unknown,N/A,,
2024-02-04,,Unknown,N/A,,
2024-02-05,Printer,East,,112.01,
2024-02-05,Tablet,Unknown,N/A,,
2024-02-05,Monitor,West,N/A,,
2024-02-05,,Unknown,,480.16,
2024-02-05,Smartphone,North,,,
2024-02-06,Laptop,Unknown,7,,
2024-02-06,,Unknown,,956.1,
2024-02-06,Laptop,East,,,
2024-02-06,,South,,816.57,
2024-02-06,Monitor,East,,free,
2024-02-07,,East,,free,
2024-02-08,Tablet,East,,,
2024-02-08,Laptop,North,N/A,,
2024-02-09,,Unknown,12,717.59,8611.08
2024-02-09,Laptop,South,,,
2024-02-09,,Unknown,,,
2024-02-09,,Unknown,N/A,604.79,
2024-02-09,Smartphone,North,,,
2024-02-10,Printer,North,,,
2024-02-10,Printer,North,,,
2024-02-10,,East,7,,
2024-02-11,Monitor,Unknown,,free,
2024-02-11,Printer,East,N/A,free,
2024-02-11,Laptop,Unknown,,483.68,
2024-02-11,,West,1,,
2024-02-12,,Unknown,,,
2024-02-12,Laptop,North,,,
2024-02-12,Tablet,North,,157.2,
2024-02-12,Smartphone,South,N/A,free,
2024-02-13,Tablet,South,,,
2024-02-13,Monitor,East,N/A,566.16,
2024-02-13,,Unknown,1,634.47,634.47
2024-02-13,Printer,South,17,322.76,5486.92
2024-02-13,,South,,,
2024-02-14,Tablet,West,N/A,,
2024-02-14,,East,,647.26,
2024-02-15,,South,,,
2024-02-15,Smartphone,Unknown,,,
2024-02-15,Laptop,North,,707.46,
2024-02-16,Tablet,North,N/A,,
2024-02-17,Laptop,Unknown,,free,
2024-02-17,Printer,East,,free,
2024-02-18,Monitor,Unknown,,,
2024-02-18,,South,,,
2024-02-18,,West,N/A,,
2024-02-18,,East,N/A,,
2024-02-19,,West,1,846.42,846.42
2024-02-19,,West,N/A,free,
2024-02-19,,East,,free,
2024-02-20,,South,13,,
2024-02-20,,North,9,,
2024-02-20,,Unknown,13,983.25,12782.25
2024-02-20,,East,,124.38,
2024-02-20,Smartphone,Unknown,,,
2024-02-21,Laptop,South,,free,
2024-02-21,Smartphone,Unknown,4,free,
2024-02-21,Printer,Unknown,,free,
2024-02-22,Laptop,West,,,
2024-02-22,,South,,free,
2024-02-22,,Unknown,20,,
2024-02-23,Smartphone,West,N/A,free,
2024-02-23,,East,,free,
2024-02-23,,East,,free,
2024-02-24,Tablet,East,19,free,
2024-02-24,Monitor,Unknown,N/A,,
2024-02-25,Tablet,North,,,
2024-02-25,,East,5,530.3,2651.5
2024-02-25,Printer,West,N/A,624.81,
2024-02-25,Smartphone,East,,,
2024-02-26,,West,1,576.04,576.04
2024-02-26,Monitor,West,,668.66,
2024-02-26,Smartphone,South,,free,
2024-02-26,Tablet,North,,free,
2024-02-27,Laptop,Unknown,8,158.91,1271.28
2024-02-27,Monitor,East,4,854.98,3419.92
2024-02-28,,Unknown,N/A,,
2024-02-28,Printer,East,,269.29,
2024-02-29,Laptop,East,,,
2024-02-29,Printer,North,,,
2024-02-29,Monitor,North,,693.92,
2024-02-29,Laptop,West,6,free,
2024-03-01,Tablet,East,,,
2024-03-01,Tablet,West,,free,
2024-03-01,Laptop,Unknown,N/A,,
2024-03-01,Laptop,South,,,
2024-03-02,Tablet,Unknown,16,417.83,6685.28
2024-03-02,Tablet,West,N/A,804.7,
2024-03-02,Printer,North,15,455.03,6825.45
2024-03-02,Tablet,West,,413.92,
2024-03-02,,West,N/A,free,
2024-03-03,Laptop,Unknown,11,free,
2024-03-03,,West,N/A,,
2024-03-04,Tablet,Unknown,,,
2024-03-05,Laptop,North,18,295.54,5319.72
2024-03-06,,North,17,free,
2024-03-06,Laptop,North,,,
2024-03-06,Monitor,South,N/A,,
2024-03-07,Printer,West,,556.75,
2024-03-07,Tablet,West,N/A,,
2024-03-07,Tablet,East,N/A,410.21,
2024-03-07,Printer,South,9,656.85,5911.650000000001
2024-03-08,Tablet,Unknown,,,
2024-03-09,,Unknown,13,700.73,9109.49
2024-03-09,Tablet,West,,,
2024-03-09,Printer,South,,,
2024-03-09,Tablet,West,,free,
2024-03-09,Smartphone,South,,348.17,
2024-03-10,,West,,free,
2024-03-10,Laptop,West,,,
2024-03-10,Tablet,East,18,243.16,4376.88
2024-03-10,Printer,Unknown,,free,
2024-03-11,Printer,East,,,
2024-03-12,,North,,,
2024-03-13,,Unknown,,free,
2024-03-13,,West,N/A,free,
2024-03-13,,South,,,
2024-03-14,Monitor,North,13,,
2024-03-14,Laptop,North,,,
2024-03-14,Laptop,West,,free,
2024-03-14,,South,,,
2024-03-15,Printer,North,,,
2024-03-15,Monitor,East,,537.56,
2024-03-15,Tablet,Unknown,,,
2024-03-15,Smartphone,East,,592.39,
2024-03-15,Monitor,Unknown,,,
2024-03-16,,South,,751.26,
2024-03-17,Tablet,North,,free,
2024-03-17,,Unknown,6,,
2024-03-18,,South,N/A,154.27,
2024-03-18,,Unknown,,free,
2024-03-18,,North,N/A,,
2024-03-19,,East,,,
2024-03-19,Laptop,East,,free,
2024-03-19,Monitor,Unknown,N/A,722.59,
2024-03-19,Monitor,North,,free,
2024-03-19,Smartphone,West,,free,
2024-03-20,Printer,Unknown,N/A,,
2024-03-20,,South,,free,
2024-03-21,,West,,,
2024-03-21,Tablet,South,,,
2024-03-21,Monitor,Unknown,N/A,free,
2024-03-22,Printer,East,,450.03,
2024-03-23,Printer,West,4,466.12,1864.48
2024-03-23,Laptop,West,,free,
2024-03-23,Printer,North,N/A,free,
2024-03-23,,Unknown,,free,
2024-03-23,,West,,,
2024-03-24,Laptop,East,N/A,,
2024-03-24,Printer,Unknown,,398.83,
2024-03-25,Smartphone,Unknown,20,free,
2024-03-26,,West,,538.57,
2024-03-26,,Unknown,,,
2024-03-27,Laptop,North,,,
2024-03-28,,North,2,307.74,615.48
2024-03-29,,North,,free,
2024-03-29,Smartphone,North,,755.77,
2024-03-30,Monitor,Unknown,15,free,
2024-03-30,Smartphone,South,,675.56,
2024-03-30,Tablet,Unknown,N/A,free,
2024-03-30,Tablet,Unknown,,,
2024-03-31,Laptop,East,,717.59,
2024-03-31,Tablet,East,N/A,536.08,
2024-03-31,Tablet,East,N/A,558.39,
2024-04-01,Tablet,North,,318.68,
2024-04-01,Monitor,West,,,
2024-04-02,Tablet,East,N/A,,
2024-04-02,Laptop,East,N/A,,
2024-04-02,Printer,South,,,
2024-04-03,,Unknown,,,
2024-04-03,Laptop,Unknown,,303.31,
2024-04-03,Tablet,West,,free,
2024-04-03,,East,,,
2024-04-04,Printer,South,,956.46,
2024-04-05,Printer,West,,,
2024-04-05,Printer,South,1,,
2024-04-06,,South,5,764.25,3821.25
2024-04-06,,West,N/A,,
2024-04-06,,East,4,free,
2024-04-06,Printer,Unknown,,free,
2024-04-06,Monitor,East,N/A,,
2024-04-07,Laptop,North,,,
2024-04-07,,West,N/A,483.86,
2024-04-08,,Unknown,,458.51,
2024-04-08,,West,,free,
2024-04-08,Tablet,East,,,
2024-04-09,Laptop,Unknown,,345.07,
2024-04-10,,East,N/A,,
2024-04-10,,Unknown,15,973.27,14599.05
2024-04-11,,West,7,110.23,771.61
2024-04-11,,South,19,565.79,10750.009999999998
2024-04-11,Laptop,South,2,free,
2024-04-12,,West,N/A,,
2024-04-12,,Unknown,,861.08,
2024-04-12,Printer,East,1,,
2024-04-12,Laptop,North,,779.33,
2024-04-13,Laptop,North,N/A,,
2024-04-13,Laptop,Unknown,,,
2024-04-14,Laptop,East,N/A,170.05,
2024-04-14,Tablet,West,N/A,free,
2024-04-15,Printer,South,,253.33,
2024-04-15,Printer,North,7,,
2024-04-15,Monitor,East,N/A,,
2024-04-15,Smartphone,Unknown,N/A,free,
2024-04-16,Printer,East,,384.46,
2024-04-17,Printer,South,,,
2024-04-18,Tablet,South,,573.02,
2024-04-18,Printer,East,,,
2024-04-18,Tablet,South,,794.25,
2024-04-19,Monitor,South,,free,
2024-04-20,,Unknown,,,
2024-04-20,Smartphone,Unknown,N/A,437.4,
2024-04-20,Tablet,East,,146.3,
2024-04-21,Tablet,Unknown,4,free,
2024-04-22,Laptop,West,,,
2024-04-23,,South,,,
2024-04-23,Smartphone,North,N/A,,
2024-04-23,,East,N/A,,
2024-04-23,,North,16,,
2024-04-24,Laptop,North,14,free,
2024-04-24,Tablet,Unknown,,,
2024-04-25,Smartphone,North,N/A,863.94,
2024-04-25,Laptop,Unknown,N/A,,
2024-04-25,Tablet,Unknown,N/A,,
2024-04-25,Tablet,West,11,free,
2024-04-25,,Unknown,N/A,912.15,
2024-04-26,Laptop,East,18,,
2024-04-26,Smartphone,Unknown,N/A,,
2024-04-26,Laptop,North,,,
2024-04-26,,North,N/A,693.33,
2024-04-26,Printer,Unknown,17,407.9,6934.299999999999
2024-04-27,Printer,West,N/A,320.94,
2024-04-27,Smartphone,Unknown,,,
2024-04-27,Smartphone,East,,,
2024-04-28,Printer,West,,free,
2024-04-29,Laptop,East,,,
2024-04-29,Monitor,West,,,
2024-04-29,Smartphone,Unknown,N/A,,
2024-04-30,,South,1,free,
2024-04-30,Smartphone,West,,414.26,
2024-04-30,,Unknown,,,
2024-04-30,Laptop,Unknown,,519.58,
2024-05-01,Laptop,North,,free,
2024-05-01,Printer,Unknown,,,
2024-05-01,Printer,Unknown,N/A,,
2024-05-02,Smartphone,North,N/A,,
2024-05-02,,South,,388.44,
2024-05-02,Monitor,East,,,
2024-05-03,Laptop,West,,252.29,
2024-05-03,Laptop,Unknown,,,
2024-05-03,,Unknown,11,187.61,2063.71
2024-05-04,Monitor,Unknown,6,,
2024-05-04,Printer,East,14,,
2024-05-04,Printer,North,,842.25,
2024-05-05,Monitor,Unknown,,,
2024-05-05,Monitor,East,N/A,,
2024-05-05,Monitor,Unknown,,free,
2024-05-05,Printer,North,,422.55,
2024-05-05,Monitor,Unknown,,,
2024-05-06,Laptop,South,8,632.43,5059.44
2024-05-06,Laptop,South,N/A,,
2024-05-06,Monitor,West,,free,
2024-05-06,Tablet,East,N/A,,
2024-05-06,Printer,East,,free,
2024-05-07,Monitor,Unknown,,,
2024-05-07,,Unknown,6,,
2024-05-08,Smartphone,Unknown,17,free,
2024-05-09,Printer,South,,889.42,
2024-05-10,Printer,Unknown,N/A,free,
2024-05-10,Printer,North,6,free,
2024-05-10,Tablet,Unknown,2,,
2024-05-11,Smartphone,East,,,
2024-05-11,,Unknown,,776.03,
2024-05-11,Tablet,West,18,free,
2024-05-11,Printer,South,,,
2024-05-12,,East,,free,
2024-05-12,Tablet,West,,382.26,
2024-05-13,,Unknown,,,
2024-05-13,,Unknown,,,
2024-05-13,,South,,free,
2024-05-14,Monitor,Unknown,15,free,
2024-05-14,,Unknown,7,,
2024-05-14,Laptop,Unknown,N/A,free,
2024-05-14,Printer,South,,,
2024-05-15,Printer,East,,,
2024-05-15,Laptop,South,,,
2024-05-15,Laptop,East,,468.46,
2024-05-15,Printer,Unknown,,874.35,
2024-05-16,,Unknown,4,786.24,3144.96
2024-05-16,Printer,West,N/A,293.09,
2024-05-17,,Unknown,,204.19,
2024-05-18,,Unknown,N/A,985.1,
2024-05-18,,South,,490.26,
2024-05-18,Monitor,East,,166.3,
2024-05-19,Tablet,North,N/A,,
2024-05-19,Tablet,Unknown,,,
2024-05-19,Monitor,East,17,,
2024-05-20,,Unknown,16,,
2024-05-21,Laptop,Unknown,,,
2024-05-21,,West,,,
2024-05-21,,Unknown,3,free,
2024-05-21,Smartphone,East,,free,
2024-05-22,Tablet,Unknown,8,,
2024-05-22,,North,N/A,,
2024-05-22,,North,,,
2024-05-23,Laptop,Unknown,,,
2024-05-23,Monitor,South,,,
2024-05-24,Monitor,Unknown,N/A,252.5,
2024-05-24,Laptop,North,N/A,,
2024-05-24,Tablet,West,,806.05,
2024-05-24,Monitor,Unknown,,free,
2024-05-25,Laptop,Unknown,N/A,free,
2024-05-25,Tablet,North,,291.84,
2024-05-25,Smartphone,North,N/A,,
2024-05-25,Monitor,South,4,,
2024-05-25,Printer,Unknown,N/A,724.81,
2024-05-26,Smartphone,West,,free,
2024-05-26,Tablet,South,N/A,,
2024-05-26,Laptop,West,11,,
2024-05-27,Tablet,North,14,977.55,13685.699999999999
2024-05-27,Smartphone,East,15,free,
2024-05-28,,East,N/A,949.3,
2024-05-28,Tablet,Unknown,8,free,
2024-05-28,Tablet,South,,,
2024-05-29,Monitor,Unknown,,822.8,
2024-05-29,Laptop,South,,free,
2024-05-30,Printer,West,N/A,free,
2024-05-30,,Unknown,,564.03,
2024-05-30,,West,N/A,704.68,
2024-05-31,Printer,Unknown,N/A,,
2024-06-01,Laptop,Unknown,,free,
2024-06-01,,Unknown,7,,
2024-06-01,Laptop,East,N/A,free,
2024-06-01,Laptop,West,,,
2024-06-02,,North,N/A,,
2024-06-02,Printer,East,15,free,
2024-06-02,Smartphone,Unknown,N/A,734.93,
2024-06-02,Printer,West,20,,
2024-06-02,,East,,,
2024-06-03,Smartphone,West,,free,
2024-06-03,Smartphone,West,8,,
2024-06-03,,North,,746.3,
2024-06-04,Laptop,North,N/A,,
2024-06-04,,South,,967.35,
2024-06-04,,West,N/A,free,
2024-06-05,Monitor,East,,,
2024-06-05,Monitor,West,,free,
2024-06-05,,Unknown,N/A,,
2024-06-06,,Unknown,,free,
2024-06-06,Laptop,West,N/A,,
2024-06-06,,South,,,
2024-06-06,Tablet,North,,607.34,
2024-06-07,Tablet,Unknown,N/A,free,
2024-06-07,Smartphone,Unknown,,free,
2024-06-07,Monitor,Unknown,18,,
2024-06-08,Monitor,South,7,832.48,5827.360000000001
2024-06-08,,North,10,free,
2024-06-08,,West,,free,
2024-06-08,Tablet,West,N/A,,
2024-06-09,Monitor,South,17,,
2024-06-09,,West,N/A,801.22,
2024-06-10,Laptop,Unknown,,,
2024-06-10,,East,N/A,669.13,
2024-06-11,,South,N/A,314.26,
2024-06-11,Smartphone,Unknown,,,
2024-06-11,,Unknown,,,
2024-06-11,Smartphone,North,,121.8,
2024-06-12,,East,,665.86,
2024-06-12,Printer,North,,free,
2024-06-12,Laptop,Unknown,,,
2024-06-13,Smartphone,East,,free,
2024-06-14,Tablet,South,,,
2024-06-14,Laptop,Unknown,N/A,free,
2024-06-14,Smartphone,South,,,
2024-06-14,Printer,South,,,
2024-06-15,Smartphone,Unknown,N/A,771.05,
2024-06-15,Smartphone,East,N/A,,
2024-06-15,Monitor,Unknown,,383.95,
2024-06-15,Laptop,East,,free,
2024-06-16,Smartphone,West,5,free,
2024-06-17,Smartphone,Unknown,,free,
2024-06-17,Monitor,East,7,,
2024-06-18,Smartphone,Unknown,,free,
2024-06-18,Tablet,Unknown,,,
2024-06-18,,Unknown,,756.58,
2024-06-18,Printer,East,,123.49,
2024-06-19,Printer,South,16,free,
2024-06-19,,West,,955.47,
2024-06-19,Smartphone,East,N/A,444.73,
2024-06-20,Smartphone,North,1,,
2024-06-21,,Unknown,,,
2024-06-21,,West,N/A,477.97,
2024-06-21,Laptop,North,N/A,,
2024-06-21,,East,,free,
2024-06-21,,North,N/A,,
2024-06-22,,East,,free,
2024-06-22,Tablet,South,N/A,209.72,
2024-06-23,,North,,free,
2024-06-23,Tablet,West,,,
2024-06-24,,North,N/A,free,
2024-06-24,Smartphone,North,9,,
2024-06-24,Laptop,East,,130.89,
2024-06-24,Tablet,Unknown,,,
2024-06-24,Laptop,Unknown,N/A,,
2024-06-25,Laptop,Unknown,,,
2024-06-25,Smartphone,Unknown,,free,
2024-06-26,Laptop,North,,,
2024-06-27,Smartphone,Unknown,2,,
2024-06-27,Tablet,Unknown,N/A,835.98,
2024-06-27,Smartphone,Unknown,,free,
2024-06-27,Printer,North,N/A,,
2024-06-28,Printer,South,3,free,
